Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-1.0550161383018E-17,-5.24329292059058E-50,0,0,0,0,0.893141652942297,0.0173646979782416,-5.02607215106347E-18,1.11022302462516E-20,0.0173646979782416,9.25185853854298E-21,0.0347145102622675,0,0,0,0,0,0,package://jixiebi/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://jixiebi/meshes/base_link.STL,,dipan-1,坐标系1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_2,-2.40878097408975E-17,-2.34682986249195E-17,0.00282819325895367,0,0,0,1.209059671757,0.00584093219987658,-3.52365706057789E-19,-6.46108469543212E-19,0.00567333497454482,1.26816738042836E-19,0.0108668445661779,0,0,0,0,0,0,package://jixiebi/meshes/link_2.STL,1,1,1,1,0,0,0,0,0,0,package://jixiebi/meshes/link_2.STL,,dizuo-1,坐标系2,基准轴2,joint_1,continuous,0,0,0.005,0,0,0.084899,base_link,0,0,-1,100,1,,,,,,,,,,
link_3,0.149965205559894,0.00323065339810263,-0.05,0,0,0,2.62057961037267,0.00245737778688177,-0.000578146383870905,-1.88442440997029E-19,0.0292821693677553,-6.58168599789274E-19,0.0288948764003918,0,0,0,0,0,0,package://jixiebi/meshes/link_3.STL,0.27843137254902,1,0.294117647058824,1,0,0,0,0,0,0,package://jixiebi/meshes/link_3.STL,,bi1-1,坐标系3,基准轴3,joint_2,revolute,0,0.05,0.06,1.5708,-1.5708,0,link_2,0,0,-1,100,1,-1.57,1.57,,,,,,,,
link_4,0.0280959500092446,6.93889390390723E-18,-0.05,0,0,0,0.165132741228719,0.000184292615563898,-8.470329472543E-21,5.51662972608895E-05,0.000226086906125154,4.5824558797898E-20,0.000178590011367756,0,0,0,0,0,0,package://jixiebi/meshes/link_4.STL,1,1,1,1,0,0,0,0,0,0,package://jixiebi/meshes/link_4.STL,,wan-1,坐标系4,基准轴4,joint_3,revolute,0.29993,0.0064613,0,0,0,-0.090835,link_3,0,0,1,100,1,-2,2,,,,,,,,
link_5,0.119612639447075,2.08166817117217E-17,-5.20417042793042E-18,0,0,0,0.891891585117502,0.000661221187082,-1.35525271560688E-19,9.74087889342445E-21,0.00417129698713738,-2.12181753287202E-19,0.00386906220090069,0,0,0,0,0,0,package://jixiebi/meshes/link_5.STL,1,1,1,1,0,0,0,0,0,0,package://jixiebi/meshes/link_5.STL,,bi2-1,坐标系5,基准轴5,joint_4,continuous,0.05,0,-0.05,-3.0342,0,0,link_4,-1,0,0,100,1,,,,,,,,,,
link_6,0.0280959500092448,0.05,4.16333634234434E-17,0,0,0,0.165132741228719,0.000184292615563898,5.51662972608895E-05,-4.57397791517322E-20,0.000178590011367756,1.42380944477528E-19,0.000226086906125154,0,0,0,0,0,0,package://jixiebi/meshes/link_6.STL,1,1,1,1,0,0,0,0,0,0,package://jixiebi/meshes/link_6.STL,,wan2-1,坐标系6,基准轴6,joint_5,revolute,0.21,0,-0.05,1.5708,0,0.049164,link_5,0,1,0,100,1,-2,2,,,,,,,,
link_7,0.0198579719071885,1.38777878078145E-17,-0.00644049305877257,0,0,0,0.106703537555513,0.000113360135166919,4.02340649945793E-21,-1.01643953670516E-20,4.76709049063445E-05,1.54848210669927E-20,7.45752418647414E-05,0,0,0,0,0,0,package://jixiebi/meshes/link_7.STL,1,1,1,1,0,0,0,0,0,0,package://jixiebi/meshes/link_7.STL,,xipan-1,坐标系7,基准轴7,joint_6,continuous,0.06,0.05,0,0.42772,0,0,link_6,-1,0,0,100,1,,,,,,,,,,
